,t,c,c1,c2,c3,o,o1,o2,o3,h,l,mean,std,upper,lower,sma_5,sma_15,diff,rule_1,rule_2,rule_3,rule_4,golden,dead
15,2019-04-08 11:40:00,111.39200000000001,111.376,111.432,111.456,111.37899999999999,111.435,111.454,111.46799999999999,111.416,111.37700000000001,111.54419999999998,0.10788717303397548,111.75997434606792,111.32842565393203,111.42,111.5,-0.0799999999999983,1,-1,1,-1,0,0
16,2019-04-08 11:50:00,111.39399999999999,111.39200000000001,111.376,111.432,111.395,111.37899999999999,111.435,111.454,111.40799999999999,111.37299999999999,111.52899999999997,0.10648399929220728,111.74196799858439,111.31603200141555,111.41,111.48,-0.07000000000000739,1,-1,1,-1,0,0
17,2019-04-08 12:00:00,111.398,111.39399999999999,111.39200000000001,111.376,111.39200000000001,111.395,111.37899999999999,111.435,111.40799999999999,111.385,111.51314999999997,0.10078078085366152,111.71471156170729,111.31158843829265,111.4,111.46,-0.05999999999998806,1,-1,1,-1,0,0
18,2019-04-08 12:10:00,111.402,111.398,111.39399999999999,111.39200000000001,111.396,111.39200000000001,111.395,111.37899999999999,111.405,111.395,111.49749999999997,0.09167763889675566,111.68085527779348,111.31414472220646,111.39,111.45,-0.060000000000002274,1,-1,1,-1,0,0
19,2019-04-08 12:20:00,111.381,111.402,111.398,111.39399999999999,111.4,111.396,111.39200000000001,111.395,111.4,111.37200000000001,111.48264999999996,0.08468907529123082,111.65202815058242,111.3132718494175,111.39,111.45,-0.060000000000002274,1,-1,1,-1,0,0
20,2019-04-08 12:30:00,111.37200000000001,111.381,111.402,111.398,111.384,111.4,111.396,111.39200000000001,111.39299999999999,111.346,111.46934999999996,0.07975110954515889,111.62885221909028,111.30984778090965,111.39,111.44,-0.04999999999999716,1,-1,1,-1,0,0
21,2019-04-08 12:40:00,111.39299999999999,111.37200000000001,111.381,111.402,111.369,111.384,111.4,111.396,111.39299999999999,111.366,111.45639999999996,0.06880896514416293,111.59401793028829,111.31878206971163,111.39,111.43,-0.04000000000000625,1,-1,1,-1,0,0
22,2019-04-08 12:50:00,111.405,111.39299999999999,111.37200000000001,111.381,111.391,111.369,111.384,111.4,111.40799999999999,111.37700000000001,111.44534999999996,0.05684445536077565,111.55903891072151,111.33166108927841,111.39,111.42,-0.030000000000001137,1,-1,1,-1,0,0
23,2019-04-08 13:00:00,111.366,111.405,111.39299999999999,111.37200000000001,111.402,111.391,111.369,111.384,111.404,111.36399999999999,111.43614999999996,0.0538255222186048,111.54380104443716,111.32849895556275,111.38,111.42,-0.04000000000000625,1,-1,1,-1,0,0
24,2019-04-08 13:10:00,111.368,111.366,111.405,111.39299999999999,111.369,111.402,111.391,111.369,111.38600000000001,111.368,111.42934999999996,0.05339157729751326,111.53613315459498,111.32256684540494,111.38,111.41,-0.030000000000001137,1,-1,1,-1,0,0
25,2019-04-08 13:20:00,111.36399999999999,111.368,111.366,111.405,111.37,111.369,111.402,111.391,111.37200000000001,111.35,111.42124999999996,0.05014702069127554,111.52154404138251,111.3209559586174,111.38,111.4,-0.020000000000010232,1,-1,1,0,0,0
26,2019-04-08 13:30:00,111.368,111.36399999999999,111.368,111.366,111.366,111.37,111.369,111.402,111.37200000000001,111.35600000000001,111.41539999999995,0.04913290247139951,111.51366580494275,111.31713419505715,111.37,111.39,-0.01999999999999602,1,-1,1,-1,0,0
27,2019-04-08 13:40:00,111.381,111.368,111.36399999999999,111.368,111.366,111.366,111.37,111.369,111.382,111.353,111.41059999999996,0.04745901278722147,111.5055180255744,111.31568197442552,111.37,111.39,-0.01999999999999602,1,-1,1,-1,0,0
28,2019-04-08 13:50:00,111.397,111.381,111.368,111.36399999999999,111.37799999999999,111.366,111.366,111.37,111.4,111.37799999999999,111.40599999999995,0.04377574430520364,111.49355148861035,111.31844851138955,111.38,111.38,0.0,1,0,1,-1,0,0
29,2019-04-08 14:00:00,111.38,111.397,111.381,111.368,111.39399999999999,111.37799999999999,111.366,111.366,111.39399999999999,111.37299999999999,111.39974999999995,0.037348818060645356,111.47444763612124,111.32505236387867,111.38,111.38,0.0,1,-1,1,-1,0,0
30,2019-04-08 14:10:00,111.37799999999999,111.38,111.397,111.381,111.37799999999999,111.39399999999999,111.37799999999999,111.366,111.39,111.37700000000001,111.39344999999996,0.02839101970696377,111.45023203941389,111.33666796058603,111.38,111.38,0.0,1,-1,1,-1,0,0
31,2019-04-08 14:20:00,111.37700000000001,111.37799999999999,111.38,111.397,111.381,111.37799999999999,111.39399999999999,111.37799999999999,111.384,111.366,111.38899999999997,0.022856531946748443,111.43471306389347,111.34328693610647,111.38,111.38,0.0,1,-1,1,-1,0,0
32,2019-04-08 14:30:00,111.38,111.37700000000001,111.37799999999999,111.38,111.375,111.381,111.37799999999999,111.39399999999999,111.39,111.37,111.38519999999997,0.016589787600591276,111.41837957520116,111.35202042479878,111.38,111.38,0.0,1,-1,1,-1,0,0
33,2019-04-08 14:40:00,111.396,111.38,111.37700000000001,111.37799999999999,111.382,111.375,111.381,111.37799999999999,111.402,111.37299999999999,111.38339999999998,0.012754359419890584,111.40890871883977,111.35789128116019,111.38,111.38,0.0,1,-1,1,-1,0,0
34,2019-04-08 14:50:00,111.42399999999999,111.396,111.38,111.37700000000001,111.398,111.382,111.375,111.381,111.428,111.396,111.38579999999997,0.015507553337890514,111.41681510667576,111.3547848933242,111.39,111.38,0.010000000000005116,1,0,1,-1,1,0
35,2019-04-08 15:00:00,111.444,111.42399999999999,111.396,111.38,111.426,111.398,111.382,111.375,111.46,111.426,111.38839999999998,0.02023909712988367,111.42887819425974,111.34792180574021,111.4,111.39,0.010000000000005116,1,0,1,-1,0,0
36,2019-04-08 15:10:00,111.436,111.444,111.42399999999999,111.396,111.446,111.426,111.398,111.382,111.446,111.414,111.3905,0.02285998572549298,111.436219971451,111.34478002854901,111.42,111.39,0.030000000000001137,1,-1,1,-1,0,0
37,2019-04-08 15:20:00,111.43299999999999,111.436,111.444,111.42399999999999,111.439,111.446,111.426,111.398,111.44,111.412,111.39224999999999,0.024727727884240238,111.44170545576847,111.34279454423151,111.43,111.39,0.04000000000000625,1,-1,1,-1,0,0
38,2019-04-08 15:30:00,111.43799999999999,111.43299999999999,111.436,111.444,111.435,111.439,111.446,111.426,111.44,111.426,111.39405,0.026705952421471994,111.44746190484294,111.34063809515705,111.43,111.4,0.030000000000001137,1,-1,1,-1,0,0
39,2019-04-08 15:40:00,111.42299999999999,111.43799999999999,111.43299999999999,111.436,111.435,111.435,111.439,111.446,111.44,111.42,111.39614999999999,0.02727110481619316,111.45069220963238,111.3416077903676,111.43,111.4,0.030000000000001137,1,-1,1,-1,0,0
40,2019-04-08 15:50:00,111.44200000000001,111.42299999999999,111.43799999999999,111.43299999999999,111.426,111.435,111.435,111.439,111.444,111.42200000000001,111.39965,0.028473949312921527,111.45659789862583,111.34270210137416,111.43,111.41,0.020000000000010232,1,-1,1,-1,0,0
41,2019-04-08 16:00:00,111.449,111.44200000000001,111.42299999999999,111.43799999999999,111.444,111.426,111.435,111.435,111.46,111.44200000000001,111.40245,0.030469095645829093,111.46338819129166,111.34151180870835,111.44,111.41,0.030000000000001137,1,-1,1,-1,0,0
42,2019-04-08 16:10:00,111.448,111.449,111.44200000000001,111.42299999999999,111.45200000000001,111.444,111.426,111.435,111.464,111.43700000000001,111.40459999999999,0.03213032671383381,111.46886065342765,111.34033934657232,111.44,111.42,0.01999999999999602,1,-1,1,-1,0,0
43,2019-04-08 16:20:00,111.45100000000001,111.448,111.449,111.44200000000001,111.444,111.45200000000001,111.444,111.426,111.456,111.426,111.40884999999999,0.03237652658462377,111.47360305316923,111.34409694683075,111.44,111.42,0.01999999999999602,1,-1,1,-1,0,0
44,2019-04-08 16:30:00,111.448,111.45100000000001,111.448,111.449,111.448,111.444,111.45200000000001,111.444,111.45200000000001,111.43700000000001,111.41284999999998,0.03200374155758585,111.47685748311515,111.3488425168848,111.45,111.42,0.030000000000001137,1,-1,1,-1,0,0
45,2019-04-08 16:40:00,111.45200000000001,111.448,111.45100000000001,111.448,111.446,111.448,111.444,111.45200000000001,111.456,111.44,111.41725,0.030966662889736603,111.47918332577947,111.35531667422052,111.45,111.43,0.01999999999999602,1,-1,1,-1,0,0
46,2019-04-08 16:50:00,111.45200000000001,111.45200000000001,111.448,111.45100000000001,111.454,111.446,111.448,111.444,111.456,111.445,111.42145000000001,0.029601698030959165,111.48065339606192,111.36224660393809,111.45,111.43,0.01999999999999602,1,-1,1,-1,0,0
47,2019-04-08 17:00:00,111.461,111.45200000000001,111.45200000000001,111.448,111.449,111.454,111.446,111.448,111.47399999999999,111.446,111.42545,0.029251135830400524,111.4839522716608,111.3669477283392,111.45,111.44,0.010000000000005116,1,-1,1,-1,0,0
48,2019-04-08 17:10:00,111.473,111.461,111.45200000000001,111.45200000000001,111.464,111.449,111.454,111.446,111.486,111.45700000000001,111.42925,0.03027918339996066,111.48980836679992,111.36869163320007,111.46,111.44,0.01999999999999602,1,-1,1,-1,0,0
49,2019-04-08 17:20:00,111.47399999999999,111.473,111.461,111.45200000000001,111.47,111.464,111.449,111.454,111.484,111.46799999999999,111.43395000000001,0.029518014125182915,111.49298602825037,111.37491397174965,111.46,111.45,0.009999999999990905,1,0,1,-1,0,0
50,2019-04-08 17:30:00,111.49600000000001,111.47399999999999,111.473,111.461,111.478,111.47,111.464,111.449,111.49799999999999,111.469,111.43985,0.029539046415838512,111.49892809283169,111.38077190716832,111.47,111.45,0.01999999999999602,1,0,1,-1,0,0
51,2019-04-08 17:40:00,111.48200000000001,111.49600000000001,111.47399999999999,111.473,111.494,111.478,111.47,111.464,111.5,111.478,111.4451,0.02700272890691143,111.49910545781383,111.39109454218617,111.48,111.45,0.030000000000001137,1,-1,1,-1,0,0
52,2019-04-08 17:50:00,111.463,111.48200000000001,111.49600000000001,111.47399999999999,111.485,111.494,111.478,111.47,111.485,111.46,111.44925,0.022468398860784777,111.49418679772158,111.40431320227843,111.48,111.46,0.020000000000010232,1,-1,1,-1,0,0
53,2019-04-08 18:00:00,111.454,111.463,111.48200000000001,111.49600000000001,111.46,111.485,111.494,111.478,111.46700000000001,111.448,111.45215,0.018652712516122803,111.48945542503225,111.41484457496776,111.47,111.46,0.010000000000005116,1,-1,0,0,0,0
54,2019-04-08 18:10:00,111.45700000000001,111.454,111.463,111.48200000000001,111.45700000000001,111.46,111.485,111.494,111.464,111.45100000000001,111.4538,0.017452491904672178,111.48870498380934,111.41889501619066,111.47,111.46,0.010000000000005116,1,-1,1,-1,0,0
55,2019-04-08 18:20:00,111.46,111.45700000000001,111.454,111.463,111.454,111.45700000000001,111.46,111.485,111.47200000000001,111.45200000000001,111.4546,0.017346014254713618,111.48929202850942,111.41990797149057,111.46,111.46,0.0,1,-1,1,-1,0,0
56,2019-04-08 18:30:00,111.432,111.46,111.45700000000001,111.454,111.463,111.454,111.45700000000001,111.46,111.46799999999999,111.427,111.45439999999999,0.017593060832956656,111.48958612166591,111.41921387833408,111.45,111.46,-0.009999999999990905,1,-1,1,-1,0,1
57,2019-04-08 18:40:00,111.417,111.432,111.46,111.45700000000001,111.429,111.463,111.454,111.45700000000001,111.434,111.417,111.45359999999998,0.018930343228142393,111.49146068645626,111.4157393135437,111.44,111.46,-0.01999999999999602,1,-1,1,-1,0,0
58,2019-04-08 18:50:00,111.412,111.417,111.432,111.46,111.414,111.429,111.463,111.454,111.414,111.398,111.45229999999997,0.0208531204278246,111.49400624085561,111.41059375914432,111.44,111.46,-0.01999999999999602,1,-1,1,0,0,0
59,2019-04-08 19:00:00,111.434,111.412,111.417,111.432,111.41,111.414,111.429,111.463,111.441,111.40700000000001,111.45284999999998,0.020173654001886678,111.49319730800376,111.41250269199621,111.43,111.45,-0.01999999999999602,1,-1,1,-1,0,0
60,2019-04-08 19:10:00,111.434,111.434,111.412,111.417,111.432,111.41,111.414,111.429,111.44200000000001,111.428,111.45245,0.020477137443820646,111.49340427488764,111.41149572511236,111.43,111.45,-0.01999999999999602,1,-1,1,-1,0,0
61,2019-04-08 19:20:00,111.471,111.434,111.434,111.412,111.431,111.432,111.41,111.414,111.471,111.431,111.45354999999999,0.02086920420641143,111.49528840841282,111.41181159158717,111.43,111.45,-0.01999999999999602,1,0,1,-1,0,0
62,2019-04-08 19:30:00,111.443,111.471,111.434,111.434,111.469,111.431,111.432,111.41,111.47200000000001,111.443,111.45330000000001,0.020968899275843632,111.4952377985517,111.41136220144833,111.44,111.45,-0.010000000000005116,1,-1,1,-1,0,0
63,2019-04-08 19:40:00,111.44,111.443,111.471,111.434,111.44,111.469,111.431,111.432,111.44200000000001,111.426,111.45275000000001,0.02117564390367461,111.49510128780736,111.41039871219266,111.44,111.45,-0.010000000000005116,1,-1,1,-1,0,0
