index,time,close,open,high,low,volume
0,2019-06-05T08:30:00,108.286,108.252,108.3,108.252,112
1,2019-06-05T08:40:00,108.271,108.283,108.29,108.271,112
2,2019-06-05T08:50:00,108.248,108.268,108.274,108.241,112
3,2019-06-05T09:00:00,108.266,108.246,108.266,108.238,113
4,2019-06-05T09:10:00,108.285,108.264,108.299,108.252,101
5,2019-06-05T09:20:00,108.32,108.282,108.322,108.237,163
6,2019-06-05T09:30:00,108.296,108.318,108.327,108.276,187
7,2019-06-05T09:40:00,108.314,108.299,108.342,108.299,116
8,2019-06-05T09:50:00,108.312,108.316,108.352,108.311,132
9,2019-06-05T10:00:00,108.302,108.314,108.326,108.289,76
10,2019-06-05T10:10:00,108.323,108.3,108.342,108.295,96
11,2019-06-05T10:20:00,108.314,108.325,108.346,108.27,239
12,2019-06-05T10:30:00,108.315,108.312,108.338,108.304,123
13,2019-06-05T10:40:00,108.281,108.317,108.317,108.264,188
14,2019-06-05T10:50:00,108.304,108.279,108.33,108.268,134
15,2019-06-05T11:00:00,108.281,108.302,108.306,108.276,134
16,2019-06-05T11:10:00,108.297,108.279,108.326,108.278,122
17,2019-06-05T11:20:00,108.284,108.294,108.312,108.277,90
18,2019-06-05T11:30:00,108.336,108.282,108.383,108.28,329
19,2019-06-05T11:40:00,108.32,108.333,108.336,108.308,111
20,2019-06-05T11:50:00,108.329,108.318,108.345,108.295,164
21,2019-06-05T12:00:00,108.324,108.326,108.345,108.304,178
22,2019-06-05T12:10:00,108.062,108.321,108.339,108.05,890
23,2019-06-05T12:20:00,107.913,108.06,108.075,107.816,1403
24,2019-06-05T12:30:00,107.824,107.911,107.929,107.821,882
25,2019-06-05T12:40:00,107.95,107.826,107.97,107.826,620
26,2019-06-05T12:50:00,107.958,107.952,107.996,107.929,407
27,2019-06-05T13:00:00,107.958,107.956,107.992,107.92,364
28,2019-06-05T13:10:00,107.964,107.954,107.982,107.916,147
29,2019-06-05T13:20:00,108.123,107.961,108.132,107.961,299
30,2019-06-05T13:30:00,108.098,108.121,108.151,108.073,444
31,2019-06-05T13:40:00,108.04,108.101,108.104,108.028,316
32,2019-06-05T13:50:00,108.021,108.042,108.044,107.984,333
33,2019-06-05T14:00:00,108.074,108.026,108.196,108.022,1416
34,2019-06-05T14:10:00,108.092,108.076,108.134,108.053,562
35,2019-06-05T14:20:00,108.052,108.088,108.126,108.028,615
36,2019-06-05T14:30:00,108.039,108.05,108.052,107.958,530
37,2019-06-05T14:40:00,108.006,108.036,108.052,107.998,308
38,2019-06-05T14:50:00,108.004,108.009,108.044,107.956,362
39,2019-06-05T15:00:00,108.067,108.007,108.086,107.988,363
40,2019-06-05T15:10:00,108.096,108.064,108.108,108.056,284
41,2019-06-05T15:20:00,108.198,108.099,108.2,108.083,365
42,2019-06-05T15:30:00,108.235,108.195,108.251,108.186,431
43,2019-06-05T15:40:00,108.178,108.238,108.251,108.172,306
44,2019-06-05T15:50:00,108.2,108.176,108.225,108.175,218
45,2019-06-05T16:00:00,108.195,108.202,108.246,108.195,211
46,2019-06-05T16:10:00,108.252,108.197,108.259,108.194,192
47,2019-06-05T16:20:00,108.232,108.249,108.266,108.223,207
48,2019-06-05T16:30:00,108.26,108.229,108.26,108.218,198
49,2019-06-05T16:40:00,108.336,108.262,108.346,108.255,202
50,2019-06-05T16:50:00,108.323,108.338,108.349,108.321,183
51,2019-06-05T17:00:00,108.361,108.32,108.378,108.32,159
52,2019-06-05T17:10:00,108.334,108.359,108.371,108.324,150
53,2019-06-05T17:20:00,108.33,108.337,108.357,108.314,94
54,2019-06-05T17:30:00,108.341,108.334,108.348,108.304,137
55,2019-06-05T17:40:00,108.343,108.343,108.35,108.324,79
56,2019-06-05T17:50:00,108.348,108.346,108.37,108.336,86
57,2019-06-05T18:00:00,108.362,108.345,108.362,108.332,79
58,2019-06-05T18:10:00,108.383,108.36,108.396,108.353,105
59,2019-06-05T18:20:00,108.378,108.38,108.386,108.366,101
60,2019-06-05T18:30:00,108.445,108.38,108.453,108.373,115
61,2019-06-05T18:40:00,108.468,108.447,108.486,108.447,161
62,2019-06-05T18:50:00,108.417,108.466,108.477,108.411,142
63,2019-06-05T19:00:00,108.375,108.414,108.414,108.373,109
64,2019-06-05T19:10:00,108.389,108.378,108.397,108.377,88
65,2019-06-05T19:20:00,108.419,108.391,108.45,108.388,132
66,2019-06-05T19:30:00,108.344,108.416,108.426,108.302,287
67,2019-06-05T19:40:00,108.372,108.348,108.379,108.348,127
68,2019-06-05T19:50:00,108.434,108.376,108.438,108.373,198
69,2019-06-05T20:00:00,108.429,108.432,108.432,108.424,20
70,2019-06-05T20:10:00,108.444,108.426,108.444,108.426,29
71,2019-06-05T20:20:00,108.428,108.442,108.442,108.418,29
72,2019-06-05T20:30:00,108.454,108.425,108.455,108.421,25
73,2019-06-05T20:40:00,108.45,108.452,108.456,108.439,28
74,2019-06-05T20:50:00,108.46,108.448,108.46,108.448,24
75,2019-06-05T21:00:00,108.448,108.462,108.466,108.448,19
76,2019-06-05T21:10:00,108.448,108.45,108.452,108.445,11
77,2019-06-05T21:20:00,108.446,108.446,108.448,108.446,13
78,2019-06-05T21:30:00,108.454,108.443,108.454,108.443,5
79,2019-06-05T21:40:00,108.416,108.452,108.452,108.412,96
80,2019-06-05T21:50:00,108.28,108.414,108.419,108.248,576
81,2019-06-05T22:00:00,108.294,108.283,108.336,108.264,232
82,2019-06-05T22:10:00,108.282,108.292,108.305,108.228,102
83,2019-06-05T22:20:00,108.238,108.279,108.279,108.237,71
84,2019-06-05T22:30:00,108.192,108.24,108.242,108.184,97
85,2019-06-05T22:40:00,108.239,108.189,108.332,108.186,247
86,2019-06-05T22:50:00,108.268,108.242,108.286,108.242,92
87,2019-06-05T23:00:00,108.242,108.266,108.296,108.186,237
88,2019-06-05T23:10:00,108.24,108.24,108.253,108.234,45
89,2019-06-05T23:20:00,108.225,108.238,108.242,108.225,46
90,2019-06-05T23:30:00,108.281,108.222,108.281,108.22,74
91,2019-06-05T23:40:00,108.305,108.279,108.314,108.274,67
92,2019-06-05T23:50:00,108.324,108.303,108.332,108.29,112
93,2019-06-06T00:00:00,108.386,108.327,108.397,108.327,324
94,2019-06-06T00:10:00,108.366,108.388,108.394,108.36,158
95,2019-06-06T00:20:00,108.392,108.368,108.402,108.344,112
96,2019-06-06T00:30:00,108.378,108.395,108.408,108.368,87
97,2019-06-06T00:40:00,108.332,108.376,108.378,108.324,86
98,2019-06-06T00:50:00,108.344,108.334,108.372,108.332,128
99,2019-06-06T01:00:00,108.358,108.342,108.36,108.33,83
100,2019-06-06T01:10:00,108.336,108.355,108.357,108.326,124
101,2019-06-06T01:20:00,108.289,108.333,108.342,108.289,75
102,2019-06-06T01:30:00,108.299,108.286,108.313,108.276,115
103,2019-06-06T01:40:00,108.277,108.297,108.299,108.268,108
104,2019-06-06T01:50:00,108.259,108.28,108.28,108.243,144
105,2019-06-06T02:00:00,108.301,108.256,108.304,108.246,88
106,2019-06-06T02:10:00,108.293,108.304,108.324,108.291,78
107,2019-06-06T02:20:00,108.274,108.291,108.291,108.265,78
108,2019-06-06T02:30:00,108.292,108.277,108.302,108.27,72
109,2019-06-06T02:40:00,108.272,108.292,108.296,108.264,55
110,2019-06-06T02:50:00,108.266,108.275,108.278,108.258,45
111,2019-06-06T03:00:00,108.274,108.263,108.284,108.258,52
112,2019-06-06T03:10:00,108.239,108.277,108.277,108.216,62
113,2019-06-06T03:20:00,108.236,108.237,108.242,108.228,51
114,2019-06-06T03:30:00,108.224,108.234,108.234,108.214,56
115,2019-06-06T03:40:00,108.218,108.222,108.224,108.214,29
116,2019-06-06T03:50:00,108.242,108.221,108.242,108.218,35
117,2019-06-06T04:00:00,108.228,108.24,108.248,108.228,58
118,2019-06-06T04:10:00,108.215,108.225,108.227,108.213,37
119,2019-06-06T04:20:00,108.217,108.213,108.221,108.202,35
120,2019-06-06T04:30:00,108.206,108.22,108.22,108.206,25
121,2019-06-06T04:40:00,108.217,108.208,108.226,108.204,41
122,2019-06-06T04:50:00,108.201,108.214,108.217,108.201,28
123,2019-06-06T05:00:00,108.22,108.204,108.235,108.189,72
